"GEOID","Name","Year","HS_Ed","Unemployed","Food_Stamps","Poverty"
"39153","Summit County, Ohio",2019,0.8,0.8,1.2,1.3
"39029","Columbiana County, Ohio",2019,1.7,1.9,2.4,2.4
"39099","Mahoning County, Ohio",2019,1.2,1.2,1.7,1.9
"39145","Scioto County, Ohio",2019,2.8,3.4,5,5.6
"39003","Allen County, Ohio",2019,1.7,1.5,2.4,2.7
"39023","Clark County, Ohio",2019,1.7,1.5,2.3,2.3
"39093","Lorain County, Ohio",2019,1.2,1.1,1.6,1.5
"39113","Montgomery County, Ohio",2019,0.9,0.9,1,1.4
"39165","Warren County, Ohio",2019,0.9,0.8,1,1
"39007","Ashtabula County, Ohio",2019,2.4,1.6,3.1,4.7
"39061","Hamilton County, Ohio",2019,0.6,0.6,0.9,1
"39049","Franklin County, Ohio",2019,0.6,0.4,0.7,0.9
"39101","Marion County, Ohio",2019,2.3,2.3,3.5,2.9
"39157","Tuscarawas County, Ohio",2019,2.8,2,2.6,3.4
"39169","Wayne County, Ohio",2019,2.2,1.1,2,1.8
"39017","Butler County, Ohio",2019,0.9,0.8,1.2,1.4
"39089","Licking County, Ohio",2019,1.5,1.1,2.1,2.4
"39139","Richland County, Ohio",2019,1.6,1.1,2.2,2.4
"39063","Hancock County, Ohio",2019,2.5,1.5,2.3,2.7
"39025","Clermont County, Ohio",2019,1.4,0.8,1.4,2
"39045","Fairfield County, Ohio",2019,1.4,0.8,2.1,2
"39081","Jefferson County, Ohio",2019,1.5,1.5,2.9,3.9
"39133","Portage County, Ohio",2019,1.8,1.4,2,2.5
"39119","Muskingum County, Ohio",2019,2.3,2.2,2.9,3.2
"39009","Athens County, Ohio",2019,1.8,2.2,3.8,4.4
"39103","Medina County, Ohio",2019,0.9,1,1.5,1.2
"39095","Lucas County, Ohio",2019,1.1,1.3,1.4,1.7
"39151","Stark County, Ohio",2019,0.9,0.7,1.4,1.5
